,tweet,Cleaned_tweet,POS_tagged,Lemma,stemming
304,@Gemacan213 @DivHumas_Polri @DPR_RI #PercumaLaporPolisi biadap bgt yang SmackDown tu, gemacan divhumas polri dpr ri percumalaporpolisi biadap bgt yang smackdown tu,"[('gemacan', 'a'), ('divhumas', 'n'), ('polri', 'n'), ('dpr', 'n'), ('ri', 'n'), ('percumalaporpolisi', 'n'), ('biadap', 'n'), ('bgt', 'n'), ('smackdown', 'n'), ('tu', 'n')]",  gemacan divhumas polri dpr ri percumalaporpolisi biadap bgt smackdown tu,gemacan divhumas polri dpr ri percumalaporpolisi biadap bgt smackdown tu
305,@SelasaPagi_ #PercumaLaporPolisi, selasapagi percumalaporpolisi,"[('selasapagi', 'n'), ('percumalaporpolisi', 'n')]",  selasapagi percumalaporpolisi,selasapagi percumalaporpolisi
306,@SelasaPagi_ najis shameless #PercumaLaporPolisi, selasapagi najis shameless percumalaporpolisi,"[('selasapagi', 'n'), ('najis', None), ('shameless', 'n'), ('percumalaporpolisi', 'n')]",  selasapagi najis shameless percumalaporpolisi,selasapagi najis shameless percumalaporpolisi
307,@CNNIndonesia #PercumaLaporPolisi, cnnindonesia percumalaporpolisi,"[('cnnindonesia', 'n'), ('percumalaporpolisi', 'n')]",  cnnindonesia percumalaporpolisi,cnnindonesia percumalaporpolisi
308,"@dariWAG Kalau yg kita laporin adalah pejabat atau Pengusaha maka siap2 bakal kena pasal pencemaran nama baik,jadi ya #PercumaLaporPolisi", dariwag kalau yg kita laporin adalah pejabat atau pengusaha maka siap bakal kena pasal pencemaran nama baik jadi ya percumalaporpolisi,"[('dariwag', 'n'), ('yg', 'n'), ('laporin', 'n'), ('pejabat', 'n'), ('pengusaha', 'n'), ('kena', 'n'), ('pasal', 'n'), ('pencemaran', 'n'), ('nama', 'n'), ('ya', 'n'), ('percumalaporpolisi', 'n')]",  dariwag yg laporin pejabat pengusaha kena pasal pencemaran nama ya percumalaporpolisi,dariwag yg laporin jabat usaha kena pasal cemar nama percumalaporpolisi
309,@QaillaAsyiqah Hama wereng coklat makin bringas #PercumaLaporPolisi krn pelakunya polisi2 juga, qaillaasyiqah hama wereng coklat makin bringas percumalaporpolisi krn pelakunya polisi juga,"[('qaillaasyiqah', 'a'), ('hama', 'n'), ('wereng', 'n'), ('coklat', 'a'), ('bringas', 'n'), ('percumalaporpolisi', 'n'), ('krn', 'n'), ('pelakunya', 'n'), ('polisi', 'n')]",  qaillaasyiqah hama wereng coklat bringas percumalaporpolisi krn pelakunya polisi,qaillaasyiqah hama wereng coklat bringas percumalaporpolisi krn laku polisi
310,@afrkml #PercumaLaporPolisi, afrkml percumalaporpolisi,"[('afrkml', 'n'), ('percumalaporpolisi', 'n')]",  afrkml percumalaporpolisi,afrkml percumalaporpolisi
311,Semakin #PercumaLaporPolisi,semakin percumalaporpolisi,"[('percumalaporpolisi', 'n')]",  percumalaporpolisi,percumalaporpolisi
312,"Susah kalo rakyat kecil ingin mencari keadilan kalo tersangkanya penegak hukum, paling2 kalo dihukum ditegur disiplin, tenang wahai kawan seperjuangan.. hukum Tuhan itu ada, dan lebih kuat! #PercumaLaporPolisi",susah kalo rakyat kecil ingin mencari keadilan kalo tersangkanya penegak hukum paling kalo dihukum ditegur disiplin tenang wahai kawan seperjuangan hukum tuhan itu ada dan lebih kuat percumalaporpolisi,"[('susah', 'n'), ('kalo', 'n'), ('rakyat', 'n'), ('mencari', 'n'), ('keadilan', 'n'), ('kalo', 'v'), ('tersangkanya', 'n'), ('penegak', 'n'), ('hukum', 'n'), ('kalo', 'a'), ('dihukum', 'n'), ('ditegur', 'n'), ('disiplin', 'n'), ('tenang', 'n'), ('kawan', 'n'), ('seperjuangan', 'v'), ('hukum', None), ('tuhan', 'a'), ('kuat', 'n'), ('percumalaporpolisi', 'n')]",  susah kalo rakyat mencari keadilan kalo tersangkanya penegak hukum kalo dihukum ditegur disiplin tenang kawan seperjuangan hukum tuhan kuat percumalaporpolisi,susah kalo rakyat cari adil kalo sangka tegak hukum kalo hukum tegur disiplin tenang kawan juang hukum tuhan kuat percumalaporpolisi
313,Setelah melihat video seorang mahasiswa dibanting &amp; diinjak kepalanya ketika ditangkap dlm demonstrasi yg berujung kerusuhan. Kayanya tagar #PercumaLaporPolisi akan semakin kuat dan tidak bisa terbantahkan sih.,setelah melihat video seorang mahasiswa dibanting amp diinjak kepalanya ketika ditangkap dlm demonstrasi yg berujung kerusuhan kayanya tagar percumalaporpolisi akan semakin kuat dan tidak bisa terbantahkan sih ,"[('video', 'v'), ('mahasiswa', 'n'), ('dibanting', 'v'), ('amp', 'a'), ('diinjak', 'n'), ('kepalanya', 'n'), ('ditangkap', 'n'), ('dlm', 'n'), ('demonstrasi', 'n'), ('yg', 'n'), ('berujung', 'n'), ('kerusuhan', 'v'), ('kayanya', 'v'), ('tagar', 'n'), ('percumalaporpolisi', 'n'), ('kuat', 'n'), ('terbantahkan', 'n'), ('sih', 'n')]",  video mahasiswa dibanting amp diinjak kepalanya ditangkap dlm demonstrasi yg berujung kerusuhan kayanya tagar percumalaporpolisi kuat terbantahkan sih,video mahasiswa banting amp injak kepala tangkap dlm demonstrasi yg ujung rusuh kaya tagar percumalaporpolisi kuat bantah sih
314,Itu kenapa di SmackDown woey ‼️ #PercumaLaporPolisi,itu kenapa di smackdown woey percumalaporpolisi,"[('smackdown', 'v'), ('woey', 'n'), ('percumalaporpolisi', 'n')]",  smackdown woey percumalaporpolisi,smackdown woey percumalaporpolisi
315,@SiaranBolaLive makanya bener aja tuh hastag #PercumaLaporPolisi, siaranbolalive makanya bener aja tuh hastag percumalaporpolisi,"[('siaranbolalive', 'a'), ('bener', 'n'), ('aja', 'n'), ('tuh', 'n'), ('hastag', 'n'), ('percumalaporpolisi', 'n')]",  siaranbolalive bener aja tuh hastag percumalaporpolisi,siaranbolalive bener aja tuh hastag percumalaporpolisi
316,ga kaget sih tapi ya ttp aja kecewa banget😃😃😃 #PercumaLaporPolisi,ga kaget sih tapi ya ttp aja kecewa banget percumalaporpolisi,"[('ga', 'n'), ('kaget', 'v'), ('sih', 'a'), ('ya', 'n'), ('ttp', 'n'), ('aja', 'n'), ('kecewa', 'n'), ('banget', 'n'), ('percumalaporpolisi', 'n')]",  ga kaget sih ya ttp aja kecewa banget percumalaporpolisi,ga kaget sih ttp aja kecewa banget percumalaporpolisi
317,#PercumaLaporPolisi tumpul ke atas tajam kebawah..., percumalaporpolisi tumpul ke atas tajam kebawah ,"[('percumalaporpolisi', 'n'), ('tumpul', 'n'), ('tajam', 'v'), ('kebawah', 'n')]",  percumalaporpolisi tumpul tajam kebawah,percumalaporpolisi tumpul tajam bawah
318,"@berteman_kopi Gak ada kapoknya mereka tuh, tagar #PercumaLaporPolisi gak mereka jadikan pelajaran.   Tuman!!", berteman kopi gak ada kapoknya mereka tuh tagar percumalaporpolisi gak mereka jadikan pelajaran tuman ,"[('berteman', 'n'), ('kopi', 'v'), ('gak', 'a'), ('kapoknya', 'n'), ('tuh', 'n'), ('tagar', 'n'), ('percumalaporpolisi', 'n'), ('gak', 'n'), ('jadikan', 'n'), ('pelajaran', 'n'), ('tuman', 'n')]",  berteman kopi gak kapoknya tuh tagar percumalaporpolisi gak jadikan pelajaran tuman,teman kopi gak kapok tuh tagar percumalaporpolisi gak jadi ajar tuman
319,@TirtoID #PercumaLaporPolisi, tirtoid percumalaporpolisi,"[('tirtoid', 'n'), ('percumalaporpolisi', 'n')]",  tirtoid percumalaporpolisi,tirtoid percumalaporpolisi
320,@geloraco Lagi lagi #PercumaLaporPolisi, geloraco lagi lagi percumalaporpolisi,"[('geloraco', 'n'), ('percumalaporpolisi', 'n')]",  geloraco percumalaporpolisi,geloraco percumalaporpolisi
321,"Apalagi kita liat korban kejang habis itu, bisa jadi ada epilepsi, tersedak, serangan jantung, atau saraf kejepit yang sama2 berpotensi membunuh korban. Benar hashtag #PercumaLaporPolisi karena buat apa kita lapor kejahatan ketika mereka jg melakukan kejahatan",apalagi kita liat korban kejang habis itu bisa jadi ada epilepsi tersedak serangan jantung atau saraf kejepit yang sama berpotensi membunuh korban benar hashtag percumalaporpolisi karena buat apa kita lapor kejahatan ketika mereka jg melakukan kejahatan,"[('liat', 'v'), ('korban', 'a'), ('kejang', 'n'), ('habis', 'n'), ('epilepsi', 'n'), ('tersedak', 'n'), ('serangan', 'a'), ('jantung', 'n'), ('saraf', 'n'), ('kejepit', 'n'), ('berpotensi', 'n'), ('membunuh', 'n'), ('korban', 'n'), ('hashtag', 'n'), ('percumalaporpolisi', 'n'), ('lapor', 'a'), ('kejahatan', 'n'), ('jg', 'n'), ('kejahatan', 'n')]",  liat korban kejang habis epilepsi tersedak serangan jantung saraf kejepit berpotensi membunuh korban hashtag percumalaporpolisi lapor kejahatan jg kejahatan,liat korban kejang habis epilepsi sedak serang jantung saraf jepit potensi bunuh korban hashtag percumalaporpolisi lapor jahat jg jahat
322,@indodichinain @Nicho_Silalahi #PolisipenyiksaRakyat #PercumaLaporPolisi, indodichinain nicho silalahi polisipenyiksarakyat percumalaporpolisi,"[('indodichinain', 'n'), ('nicho', 'a'), ('silalahi', 'n'), ('polisipenyiksarakyat', 'n'), ('percumalaporpolisi', 'n')]",  indodichinain nicho silalahi polisipenyiksarakyat percumalaporpolisi,indodichinain nicho silalahi polisipenyiksarakyat percumalaporpolisi
323,Semakin #PercumaLaporPolisi  https://t.co/HYmNIjG1NI,semakin percumalaporpolisi ,"[('percumalaporpolisi', 'n')]",  percumalaporpolisi,percumalaporpolisi
324,@mister_sidik @Nicho_Silalahi #PolisipenyiksaRakyat #PercumaLaporPolisi, mister sidik nicho silalahi polisipenyiksarakyat percumalaporpolisi,"[('mister', 'n'), ('sidik', 'n'), ('nicho', 'a'), ('silalahi', 'n'), ('polisipenyiksarakyat', 'n'), ('percumalaporpolisi', 'n')]",  mister sidik nicho silalahi polisipenyiksarakyat percumalaporpolisi,mister sidik nicho silalahi polisipenyiksarakyat percumalaporpolisi
325,@ardewo @Nicho_Silalahi #PolisipenyiksaRakyat #PercumaLaporPolisi, ardewo nicho silalahi polisipenyiksarakyat percumalaporpolisi,"[('ardewo', 'n'), ('nicho', 'a'), ('silalahi', 'n'), ('polisipenyiksarakyat', 'n'), ('percumalaporpolisi', 'n')]",  ardewo nicho silalahi polisipenyiksarakyat percumalaporpolisi,ardewo nicho silalahi polisipenyiksarakyat percumalaporpolisi
326,Semakin #PercumaLaporPolisi,semakin percumalaporpolisi,"[('percumalaporpolisi', 'n')]",  percumalaporpolisi,percumalaporpolisi
327,@ListyoSigitP Sdh 5 bulan lapor ke Polda tp tdk ada perkembangan #PercumaLaporPolisi #DumasPresisiHanyaJargon??, listyosigitp sdh bulan lapor ke polda tp tdk ada perkembangan percumalaporpolisi dumaspresisihanyajargon ,"[('listyosigitp', 'n'), ('sdh', 'n'), ('lapor', 'v'), ('polda', 'n'), ('tp', 'n'), ('tdk', None), ('perkembangan', 'a'), ('percumalaporpolisi', 'n'), ('dumaspresisihanyajargon', 'n')]",  listyosigitp sdh lapor polda tp tdk perkembangan percumalaporpolisi dumaspresisihanyajargon,listyosigitp sdh lapor polda tp tdk kembang percumalaporpolisi dumaspresisihanyajargon
328,#PercumaLaporPolisi, percumalaporpolisi,"[('percumalaporpolisi', 'n')]",  percumalaporpolisi,percumalaporpolisi
329,"Ada satu kisah yg luar biasa pilu yg lagi2 melibatkan polisi. Kisah ini terjadi tahun 70an. TW, rape #PercumaLaporPolisi   https://t.co/yXAlHk1UQ6",ada satu kisah yg luar biasa pilu yg lagi melibatkan polisi kisah ini terjadi tahun an tw rape percumalaporpolisi ,"[('kisah', 'n'), ('yg', 'n'), ('pilu', 'n'), ('yg', 'n'), ('melibatkan', 'n'), ('polisi', 'n'), ('kisah', 'n'), ('an', None), ('tw', 'a'), ('rape', 'n'), ('percumalaporpolisi', 'n')]",  kisah yg pilu yg melibatkan polisi kisah an tw rape percumalaporpolisi,kisah yg pilu yg libat polisi kisah an tw rape percumalaporpolisi
330,"Wahai pemangku kebijakan, manusiawi kah apa yang dilakukan tsb? Begitukah mengayomi masyarakat? Miris. Gimana mau percaya pada institusi baju cokelat. #PercumaLaporPolisi",wahai pemangku kebijakan manusiawi kah apa yang dilakukan tsb begitukah mengayomi masyarakat miris gimana mau percaya pada institusi baju cokelat percumalaporpolisi,"[('pemangku', 'n'), ('kebijakan', 'n'), ('manusiawi', 'n'), ('kah', 'n'), ('tsb', 'n'), ('mengayomi', 'n'), ('masyarakat', 'n'), ('miris', 'n'), ('gimana', 'n'), ('percaya', 'n'), ('institusi', 'n'), ('baju', 'n'), ('cokelat', 'n'), ('percumalaporpolisi', 'n')]",  pemangku kebijakan manusiawi kah tsb mengayomi masyarakat miri gimana percaya institusi baju cokelat percumalaporpolisi,mang bijak manusiawi tsb ayom masyarakat miri gimana percaya institusi baju cokelat percumalaporpolisi
331,Dalam hashtag #PercumaLaporPolisi,dalam hashtag percumalaporpolisi,"[('hashtag', 'n'), ('percumalaporpolisi', 'n')]",  hashtag percumalaporpolisi,hashtag percumalaporpolisi
332,@demokrasibodong @mohmahfudmd Astagfirullah #PercumaLaporPolisi, demokrasibodong mohmahfudmd astagfirullah percumalaporpolisi,"[('demokrasibodong', 'a'), ('mohmahfudmd', 'n'), ('astagfirullah', 'n'), ('percumalaporpolisi', 'n')]",  demokrasibodong mohmahfudmd astagfirullah percumalaporpolisi,demokrasibodong mohmahfudmd astagfirullah percumalaporpolisi
333,#percumalaporpolisi, percumalaporpolisi,"[('percumalaporpolisi', 'n')]",  percumalaporpolisi,percumalaporpolisi
334,@aaodjay @Tuahsakato999 @AksiLangsung #PercumaLaporPolisi, aaodjay tuahsakato aksilangsung percumalaporpolisi,"[('aaodjay', 'n'), ('tuahsakato', 'n'), ('aksilangsung', 'n'), ('percumalaporpolisi', 'n')]",  aaodjay tuahsakato aksilangsung percumalaporpolisi,aaodjay tuahsakato aksilangsung percumalaporpolisi
335,"We've said it before and we'll say it again, #PercumaLaporPolisi",we ve said it before and we ll say it again percumalaporpolisi,"[('we', None), ('ve', 'v'), ('said', 'v'), ('it', None), ('before', None), ('and', None), ('we', None), ('ll', 'v'), ('say', 'v'), ('it', None), ('again', 'r'), ('percumalaporpolisi', 'v')]",  we ve say it before and we ll say it again percumalaporpolisi,we ve say it before and we ll say it again percumalaporpolisi
336,Kalo ini ada yg sebut #polisisesuaiprosedur #PolisiTegasHumanis berarti anda berada didunia lain. Jaga diri baek baek kalo anda dinegri itu #PercumaLaporPolisi,kalo ini ada yg sebut polisisesuaiprosedur polisitegashumanis berarti anda berada didunia lain jaga diri baek baek kalo anda dinegri itu percumalaporpolisi,"[('kalo', 'n'), ('yg', 'n'), ('polisisesuaiprosedur', 'n'), ('polisitegashumanis', 'n'), ('didunia', 'n'), ('jaga', 'n'), ('baek', 'n'), ('baek', 'n'), ('kalo', 'n'), ('dinegri', 'n'), ('percumalaporpolisi', 'n')]",  kalo yg polisisesuaiprosedur polisitegashumanis didunia jaga baek baek kalo dinegri percumalaporpolisi,kalo yg polisisesuaiprosedur polisitegashumanis dunia jaga baek baek kalo dinegri percumalaporpolisi
337,"@VIVAcoid #PercumaLaporPolisi  ini lah yang di maksud mengayomi dan melindungi , palingan bentar lagi di ANGGAP OKNUM 😅🤭 , selama ini selalu OKNUM yg di kambing hitam kan atau 99% di POLRI isinya OKNUM", vivacoid percumalaporpolisi ini lah yang di maksud mengayomi dan melindungi palingan bentar lagi di anggap oknum selama ini selalu oknum yg di kambing hitam kan atau di polri isinya oknum,"[('vivacoid', 'a'), ('percumalaporpolisi', 'n'), ('maksud', 'n'), ('mengayomi', 'n'), ('melindungi', 'n'), ('palingan', 'a'), ('bentar', 'n'), ('anggap', 'n'), ('oknum', 'n'), ('oknum', 'n'), ('yg', 'n'), ('kambing', 'v'), ('hitam', 'a'), ('polri', 'n'), ('isinya', 'n'), ('oknum', 'n')]",  vivacoid percumalaporpolisi maksud mengayomi melindungi palingan bentar anggap oknum oknum yg kambing hitam polri isinya oknum,vivacoid percumalaporpolisi maksud ayom lindung paling bentar anggap oknum oknum yg kambing hitam polri isi oknum
338,@VICE_ID Ish #PercumaLaporPolisi guys., vice id ish percumalaporpolisi guys ,"[('vice', 'n'), ('id', 'n'), ('ish', 'a'), ('percumalaporpolisi', 'n'), ('guys', 'n')]",  vice id ish percumalaporpolisi guy,vice id ish percumalaporpolisi guy
339,@__dikatelli Jgn lupa pake hashtag ini paman wkwk #PercumaLaporPolisi #PercumaAdaPolisi, dikatelli jgn lupa pake hashtag ini paman wkwk percumalaporpolisi percumaadapolisi,"[('dikatelli', 'n'), ('jgn', 'n'), ('lupa', 'a'), ('pake', 'n'), ('hashtag', 'n'), ('paman', 'n'), ('wkwk', 'v'), ('percumalaporpolisi', 'a'), ('percumaadapolisi', 'n')]",  dikatelli jgn lupa pake hashtag paman wkwk percumalaporpolisi percumaadapolisi,dikatelli jgn lupa pake hashtag paman wkwk percumalaporpolisi percumaadapolisi
340,@Juru_Baca @fullmoonfolks dari #percumalaporpolisi bisa jadi #percumabayarpajak klo peran nya cmn jadi states aparatus biar institusi ini dibayar sama partai pemenang aja lah, juru baca fullmoonfolks dari percumalaporpolisi bisa jadi percumabayarpajak klo peran nya cmn jadi states aparatus biar institusi ini dibayar sama partai pemenang aja lah,"[('juru', 'n'), ('baca', 'n'), ('fullmoonfolks', 'n'), ('percumalaporpolisi', 'a'), ('percumabayarpajak', 'n'), ('klo', 'n'), ('peran', 'n'), ('nya', 'r'), ('cmn', 'a'), ('states', 'n'), ('aparatus', 'v'), ('biar', 'a'), ('institusi', 'n'), ('dibayar', 'n'), ('partai', 'n'), ('pemenang', 'n'), ('aja', 'n')]",  juru baca fullmoonfolks percumalaporpolisi percumabayarpajak klo peran nya cmn state aparatus biar institusi dibayar partai pemenang aja,juru baca fullmoonfolks percumalaporpolisi percumabayarpajak klo peran nya cmn state aparatus biar institusi bayar partai menang aja
341,Kami tunggu tindak lanjutnya.. Aparat yang membanting mahasiswa tersebut semoga diproses sesuai hukum yang berlaku..  #PercumaLaporPolisi  #BubarkanDensus88  https://t.co/nPgSZnX90j,kami tunggu tindak lanjutnya aparat yang membanting mahasiswa tersebut semoga diproses sesuai hukum yang berlaku percumalaporpolisi bubarkandensus ,"[('tunggu', 'n'), ('tindak', 'n'), ('aparat', 'n'), ('membanting', 'v'), ('mahasiswa', 'n'), ('semoga', 'a'), ('diproses', 'n'), ('sesuai', 'v'), ('hukum', 'n'), ('berlaku', 'n'), ('percumalaporpolisi', 'n'), ('bubarkandensus', 'n')]",  tunggu tindak aparat membanting mahasiswa semoga diproses sesuai hukum berlaku percumalaporpolisi bubarkandensus,tunggu tindak aparat banting mahasiswa moga proses sesuai hukum laku percumalaporpolisi bubarkandensus
342,Trendingkan lagi yu #PercumaLaporPolisi,trendingkan lagi yu percumalaporpolisi,"[('trendingkan', 'a'), ('yu', 'n'), ('percumalaporpolisi', 'n')]",  trendingkan yu percumalaporpolisi,trendingkan yu percumalaporpolisi
343,@viranindyap kmrn rame hashtag #PercumaLaporPolisi bukannya evaluasi malah defensif wkwk. ya emg susah kalau pridenya udah ketinggian, viranindyap kmrn rame hashtag percumalaporpolisi bukannya evaluasi malah defensif wkwk ya emg susah kalau pridenya udah ketinggian,"[('viranindyap', 'n'), ('kmrn', 'n'), ('rame', 'n'), ('hashtag', 'n'), ('percumalaporpolisi', 'n'), ('evaluasi', 'n'), ('defensif', 'n'), ('wkwk', 'n'), ('ya', 'n'), ('emg', 'n'), ('susah', 'n'), ('pridenya', 'n'), ('udah', 'a'), ('ketinggian', 'n')]",  viranindyap kmrn rame hashtag percumalaporpolisi evaluasi defensif wkwk ya emg susah pridenya udah ketinggian,viranindyap kmrn rame hashtag percumalaporpolisi evaluasi defensif wkwk emg susah pridenya udah tinggi
344,#PercumaLaporPolisi kan yang banting sampe kejang kejang itu polisi sendiri chuakzzz🤣, percumalaporpolisi kan yang banting sampe kejang kejang itu polisi sendiri chuakzzz ,"[('percumalaporpolisi', 'n'), ('banting', 'v'), ('sampe', 'n'), ('kejang', None), ('kejang', None), ('polisi', None), ('chuakzzz', 'n')]",  percumalaporpolisi banting sampe kejang kejang polisi chuakzzz,percumalaporpolisi banting sampe kejang kejang polisi chuakzzz
345,"#PercumaLaporPolisi kasian rakyat kecil,jika keadilan untuk rakyat kecil tidak ada,hati2 dengan pertolongan yg diatas.", percumalaporpolisi kasian rakyat kecil jika keadilan untuk rakyat kecil tidak ada hati dengan pertolongan yg diatas ,"[('percumalaporpolisi', 'n'), ('kasian', 'a'), ('rakyat', 'n'), ('keadilan', 'n'), ('rakyat', 'n'), ('hati', 'n'), ('pertolongan', 'a'), ('yg', 'n'), ('diatas', 'n')]",  percumalaporpolisi kasian rakyat keadilan rakyat hati pertolongan yg diatas,percumalaporpolisi kasi rakyat adil rakyat hati yg atas
346,"Pasti Ini Bukan di INDONESIA Di Wakanda pasti ini, itu ada jurus Smackdownnya, ga mungkin di Indonesia  #polisisesuaiprosedur #PercumaLaporPolisi   https://t.co/uTx1diko88",pasti ini bukan di indonesia di wakanda pasti ini itu ada jurus smackdownnya ga mungkin di indonesia polisisesuaiprosedur percumalaporpolisi ,"[('indonesia', 'n'), ('wakanda', 'n'), ('jurus', 'n'), ('smackdownnya', 'n'), ('ga', 'n'), ('indonesia', 'n'), ('polisisesuaiprosedur', 'n'), ('percumalaporpolisi', 'n')]",  indonesia wakanda jurus smackdownnya ga indonesia polisisesuaiprosedur percumalaporpolisi,indonesia wakanda jurus smackdownnya ga indonesia polisisesuaiprosedur percumalaporpolisi
347,#PercumaLaporPolisi #PolisiTegasHumanis 👍, percumalaporpolisi polisitegashumanis ,"[('percumalaporpolisi', 'n'), ('polisitegashumanis', 'n')]",  percumalaporpolisi polisitegashumanis,percumalaporpolisi polisitegashumanis
348,Bagaimana kami mau percaya jika institusi keamanan bertindak seperti ini  Pendomo bukan maling atau koruptor!!!!  #PercumaLaporPolisi,bagaimana kami mau percaya jika institusi keamanan bertindak seperti ini pendomo bukan maling atau koruptor percumalaporpolisi,"[('percaya', 'n'), ('institusi', 'n'), ('keamanan', 'n'), ('bertindak', 'n'), ('pendomo', 'n'), ('maling', 'v'), ('koruptor', 'n'), ('percumalaporpolisi', 'n')]",  percaya institusi keamanan bertindak pendomo maling koruptor percumalaporpolisi,percaya institusi aman tindak pendomo maling koruptor percumalaporpolisi
349,Another #PercumaLaporPolisi 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,another percumalaporpolisi ,"[('another', None), ('percumalaporpolisi', 'n')]",  another percumalaporpolisi,another percumalaporpolisi
350,FUCK BGSTTTT!!!!!! PENGAYOM MASYARAKAT KELAKUAN SAMPAH  😠😡😤 #PercumaLaporPolisi #polisisesuaiprosedur,fuck bgstttt pengayom masyarakat kelakuan sampah percumalaporpolisi polisisesuaiprosedur,"[('fuck', 'a'), ('bgstttt', 'n'), ('pengayom', 'n'), ('masyarakat', 'n'), ('kelakuan', 'a'), ('sampah', 'n'), ('percumalaporpolisi', 'n'), ('polisisesuaiprosedur', 'n')]",  fuck bgstttt pengayom masyarakat kelakuan sampah percumalaporpolisi polisisesuaiprosedur,fuck bgstttt ayom masyarakat laku sampah percumalaporpolisi polisisesuaiprosedur
351,@AksiLangsung @ARSIPAJA #PercumaLaporPolisi dan #PolisiBringasGaHumanis yuk. Here we go!, aksilangsung arsipaja percumalaporpolisi dan polisibringasgahumanis yuk here we go ,"[('aksilangsung', 'n'), ('arsipaja', 'n'), ('percumalaporpolisi', 'n'), ('polisibringasgahumanis', 'n'), ('yuk', 'n'), ('here', 'r'), ('we', None), ('go', 'v')]",  aksilangsung arsipaja percumalaporpolisi polisibringasgahumanis yuk here we go,aksilangsung arsipaja percumalaporpolisi polisibringasgahumanis yuk here we go
352,@P3nj3l4j4h_id @DivHumas_Polri @M1_nusaputra #PercumaLaporPolisi, p nj l j h id divhumas polri m nusaputra percumalaporpolisi,"[('p', 'n'), ('nj', None), ('l', 'n'), ('j', 'n'), ('h', 'n'), ('id', 'a'), ('divhumas', 'n'), ('polri', 'n'), ('m', 'n'), ('nusaputra', 'a'), ('percumalaporpolisi', 'n')]",  p nj l j h id divhumas polri m nusaputra percumalaporpolisi,p nj l j h id divhumas polri m nusaputra percumalaporpolisi
353,#PercumaLaporPolisi dan #PolisiBringasGaHumanis yuk. Here we go!, percumalaporpolisi dan polisibringasgahumanis yuk here we go ,"[('percumalaporpolisi', 'n'), ('polisibringasgahumanis', 'n'), ('yuk', 'n'), ('here', 'r'), ('we', None), ('go', 'v')]",  percumalaporpolisi polisibringasgahumanis yuk here we go,percumalaporpolisi polisibringasgahumanis yuk here we go
354,@imanlagi #PercumaLaporPolisi, imanlagi percumalaporpolisi,"[('imanlagi', 'n'), ('percumalaporpolisi', 'n')]",  imanlagi percumalaporpolisi,imanlagi percumalaporpolisi
355,"Sorry, but I'd had little respect for the police from a long time ago. Even though my late grandpa was a policeman, I kindly refused when he said he wanted me to marry a policeman. These days, what respect I have in my body towards that institution, have lost. #PercumaLaporPolisi",sorry but i d had little respect for the police from a long time ago even though my late grandpa was a policeman i kindly refused when he said he wanted me to marry a policeman these days what respect i have in my body towards that institution have lost percumalaporpolisi,"[('sorry', 'n'), ('but', None), ('i', 'a'), ('d', 'n'), ('had', 'v'), ('little', 'a'), ('respect', 'n'), ('for', None), ('the', None), ('police', 'n'), ('from', None), ('a', None), ('long', 'a'), ('time', 'n'), ('ago', 'r'), ('even', 'r'), ('though', None), ('my', None), ('late', 'a'), ('grandpa', 'n'), ('was', 'v'), ('a', None), ('policeman', 'n'), ('i', 'n'), ('kindly', 'r'), ('refused', 'v'), ('when', None), ('he', None), ('said', 'v'), ('he', None), ('wanted', 'v'), ('me', None), ('to', None), ('marry', 'v'), ('a', None), ('policeman', 'a'), ('these', None), ('days', 'n'), ('what', None), ('respect', 'v'), ('i', 'n'), ('have', 'v'), ('in', None), ('my', None), ('body', 'n'), ('towards', 'n'), ('that', None), ('institution', 'v'), ('have', 'v'), ('lost', 'v'), ('percumalaporpolisi', 'n')]",  sorry but i d have little respect for the police from a long time ago even though my late grandpa be a policeman i kindly refuse when he say he want me to marry a policeman these day what respect i have in my body towards that institution have lose percumalaporpolisi,sorry but i d have little respect for the police from a long time ago even though my late grandpa be a policeman i kindly refuse when he say he want me to marry a policeman these day what respect i have in my body towards that institution have lose percumalaporpolisi
356,@andikamalreza Nanti ada yg alasan ini efek domino #PercumaLaporPolisi Mal😊, andikamalreza nanti ada yg alasan ini efek domino percumalaporpolisi mal ,"[('andikamalreza', 'n'), ('yg', 'n'), ('alasan', 'a'), ('efek', 'n'), ('domino', 'n'), ('percumalaporpolisi', 'n'), ('mal', 'n')]",  andikamalreza yg alasan efek domino percumalaporpolisi mal,andikamalreza yg alas efek domino percumalaporpolisi mal
357,Cuma pegel2 dan baru sarapan belom makan. #PercumaLaporPolisi,cuma pegel dan baru sarapan belom makan percumalaporpolisi,"[('pegel', 'n'), ('sarapan', 'n'), ('belom', 'n'), ('makan', 'n'), ('percumalaporpolisi', 'n')]",  pegel sarapan belom makan percumalaporpolisi,gel sarap bom makan percumalaporpolisi
