,tweet,Cleaned_tweet,POS_tagged,Lemma,stemming
10,#percumalaporpolisi, percumalaporpolisi,"[('percumalaporpolisi', 'n')]",  percumalaporpolisi,percumalaporpolisi
11,"@republikaonline Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF", republikaonline opas belanda bertindak berlebihan dlm naganin demo jk mahasiswa angkat senjata seperti di miyanmar baru mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi ,"[('republikaonline', 'n'), ('opas', 'n'), ('belanda', 'n'), ('bertindak', 'n'), ('dlm', 'n'), ('naganin', 'n'), ('demo', 'n'), ('jk', 'n'), ('mahasiswa', 'n'), ('angkat', 'n'), ('senjata', 'n'), ('miyanmar', 'n'), ('mikir', 'n'), ('cc', 'n'), ('mohmahfudmd', 'n'), ('n', 'a'), ('kompolnas', 'n'), ('ri', 'v'), ('percumalaporpolisi', 'n'), ('percumalaporpolisi', 'n')]",  republikaonline opas belanda bertindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi,republikaonline opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi
12,@geloraco #PercumaLaporPolisi, geloraco percumalaporpolisi,"[('geloraco', 'n'), ('percumalaporpolisi', 'n')]",  geloraco percumalaporpolisi,geloraco percumalaporpolisi
13,"@tempodotco Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF", tempodotco opas belanda bertindak berlebihan dlm naganin demo jk mahasiswa angkat senjata seperti di miyanmar baru mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi ,"[('tempodotco', 'n'), ('opas', None), ('belanda', 'v'), ('bertindak', 'n'), ('dlm', 'n'), ('naganin', 'n'), ('demo', 'n'), ('jk', 'n'), ('mahasiswa', 'n'), ('angkat', 'n'), ('senjata', 'n'), ('miyanmar', 'n'), ('mikir', 'n'), ('cc', 'n'), ('mohmahfudmd', 'n'), ('n', 'a'), ('kompolnas', 'n'), ('ri', 'v'), ('percumalaporpolisi', 'n'), ('percumalaporpolisi', 'n')]",  tempodotco opas belanda bertindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi,tempodotco opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi
14,"Demo Hut Tangerang, Ricuh.. #PercumaLaporPolisi  https://t.co/yraT7uaGvJ",demo hut tangerang ricuh percumalaporpolisi ,"[('demo', 'n'), ('hut', 'n'), ('tangerang', 'n'), ('ricuh', 'n'), ('percumalaporpolisi', 'n')]",  demo hut tangerang ricuh percumalaporpolisi,demo hut tangerang ricuh percumalaporpolisi
15,#PercumaLaporPolisi, percumalaporpolisi,"[('percumalaporpolisi', 'n')]",  percumalaporpolisi,percumalaporpolisi
16,@geloraco #PercumaLaporPolisi, geloraco percumalaporpolisi,"[('geloraco', 'n'), ('percumalaporpolisi', 'n')]",  geloraco percumalaporpolisi,geloraco percumalaporpolisi
17,"Demo Hut Tangerang Rusuh, Pendemo Dijatuhkan.. #PercumaLaporPolisi  https://t.co/V4Icxm8drp",demo hut tangerang rusuh pendemo dijatuhkan percumalaporpolisi ,"[('demo', 'n'), ('hut', 'n'), ('tangerang', 'n'), ('rusuh', 'n'), ('pendemo', 'n'), ('dijatuhkan', 'n'), ('percumalaporpolisi', 'n')]",  demo hut tangerang rusuh pendemo dijatuhkan percumalaporpolisi,demo hut tangerang rusuh demo jatuh percumalaporpolisi
18,Entah Buzzer polisi akan naikkan tagar apalagi 🤣🤣🤣🤣🤣🤣 #percumalaporpolisi #polisikriminal,entah buzzer polisi akan naikkan tagar apalagi percumalaporpolisi polisikriminal,"[('buzzer', 'n'), ('polisi', 'n'), ('naikkan', 'a'), ('tagar', 'n'), ('percumalaporpolisi', 'v'), ('polisikriminal', 'a')]",  buzzer polisi naikkan tagar percumalaporpolisi polisikriminal,buzzer polisi naik tagar percumalaporpolisi polisikriminal
19,#PercumaAdaPolisi #percumalaporpolisi, percumaadapolisi percumalaporpolisi,"[('percumaadapolisi', 'n'), ('percumalaporpolisi', 'n')]",  percumaadapolisi percumalaporpolisi,percumaadapolisi percumalaporpolisi
