id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.44826E+18,1.44823E+18,1.63413E+12,10/13/2021 19:19,700,,"@BossTemlen Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF",in,"['percumalaporpolisi', 'percumalaporpolisi']",[],157658905,157658905,Tony_Harto,Golputers,3,19,https://twitter.com/Tony_Harto/status/1448262099281461250,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1448191336344031232/pu/img/rJcyKn-m7a4zStq7.jpg,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,"[{'screen_name': 'BossTemlen', 'name': 'Boss', 'id': '1239754822707904513'}]",,,,
1.44826E+18,1.44825E+18,1.63413E+12,10/13/2021 19:18,700,,"@KompasTV Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF",in,"['percumalaporpolisi', 'percumalaporpolisi']",[],157658905,157658905,Tony_Harto,Golputers,3,19,https://twitter.com/Tony_Harto/status/1448261984827285504,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1448191336344031232/pu/img/rJcyKn-m7a4zStq7.jpg,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,"[{'screen_name': 'KompasTV', 'name': 'KOMPAS TV', 'id': '71436318'}]",,,,
1.44826E+18,1.44823E+18,1.63413E+12,10/13/2021 19:18,700,,@BossTemlen Naikkan lagi #PercumaLaporPolisi,in,['percumalaporpolisi'],[],864414385,864414385,wicaksono_adhi,Adhi Wicaksono,3,19,https://twitter.com/wicaksono_adhi/status/1448261832330735624,[],[],0,,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,"[{'screen_name': 'BossTemlen', 'name': 'Boss', 'id': '1239754822707904513'}]",,,,
1.44826E+18,1.44826E+18,1.63413E+12,10/13/2021 19:18,700,,#PercumaLaporPolisi kalo #PolisiSesuaiProsedur. #anjaayyy,in,"['percumalaporpolisi', 'polisisesuaiprosedur', 'anjaayyy']",[],120041851,120041851,Alfuzz96,🎃Alfuzz the Carpathian🎃,3,19,https://twitter.com/Alfuzz96/status/1448261828119650314,[],[],0,,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,[],,,,
1.44826E+18,1.44819E+18,1.63413E+12,10/13/2021 19:18,700,,"@CNNIndonesia Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF",in,"['percumalaporpolisi', 'percumalaporpolisi']",[],157658905,157658905,Tony_Harto,Golputers,3,19,https://twitter.com/Tony_Harto/status/1448261808981041154,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1448191336344031232/pu/img/rJcyKn-m7a4zStq7.jpg,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,"[{'screen_name': 'CNNIndonesia', 'name': 'CNN Indonesia', 'id': '17128975'}]",,,,
1.44826E+18,1.4482E+18,1.63413E+12,10/13/2021 19:17,700,,"@AksiLangsung Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF",in,"['percumalaporpolisi', 'percumalaporpolisi']",[],157658905,157658905,Tony_Harto,Golputers,3,19,https://twitter.com/Tony_Harto/status/1448261717142618114,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1448191336344031232/pu/img/rJcyKn-m7a4zStq7.jpg,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,"[{'screen_name': 'AksiLangsung', 'name': '#ReformasiDikorupsi', 'id': '1176903650339258368'}]",,,,
1.44826E+18,1.44817E+18,1.63413E+12,10/13/2021 19:17,700,,"@henrysubiakto Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF",in,"['percumalaporpolisi', 'percumalaporpolisi']",[],157658905,157658905,Tony_Harto,Golputers,3,19,https://twitter.com/Tony_Harto/status/1448261672246800385,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1448191336344031232/pu/img/rJcyKn-m7a4zStq7.jpg,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,"[{'screen_name': 'henrysubiakto', 'name': 'Henry Subiakto', 'id': '201554665'}]",,,,
1.44826E+18,1.44826E+18,1.63413E+12,10/13/2021 19:16,700,,#PercumaLaporPolisi,und,['percumalaporpolisi'],[],1.41525E+18,1.41525E+18,PPKMrasapedas,Bumb911,3,19,https://twitter.com/PPKMrasapedas/status/1448261389030551553,[],[],0,,FALSE,0,0,0,https://twitter.com/BossTemlen/status/1448226551510695938,#PercumalaporPolisi,,,,,,,[],,,,
1.44826E+18,1.44819E+18,1.63413E+12,10/13/2021 19:16,700,,"@AksiLangsung Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF",in,"['percumalaporpolisi', 'percumalaporpolisi']",[],157658905,157658905,Tony_Harto,Golputers,3,19,https://twitter.com/Tony_Harto/status/1448261327286247425,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1448191336344031232/pu/img/rJcyKn-m7a4zStq7.jpg,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,"[{'screen_name': 'AksiLangsung', 'name': '#ReformasiDikorupsi', 'id': '1176903650339258368'}]",,,,
1.44826E+18,1.44819E+18,1.63413E+12,10/13/2021 19:16,700,,@AksiLangsung @erenwe_ #percumalaporpolisi #PercumaAdaPolisi,und,"['percumalaporpolisi', 'percumaadapolisi']",[],98364548,98364548,adimasario_,Pejuang Kilometer,3,19,https://twitter.com/adimasario_/status/1448261272231759879,[],[],0,,FALSE,0,0,0,,#PercumalaporPolisi,,,,,,,"[{'screen_name': 'AksiLangsung', 'name': '#ReformasiDikorupsi', 'id': '1176903650339258368'}, {'screen_name': 'erenwe_', 'name': 'Berisiko', 'id': '119687919'}]",,,,
